timestamp(ms),AHR2.Roll,AHR2.Pitch,AHR2.Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[1].GyrX,IMU[1].GyrY,IMU[1].GyrZ,IMU[2].GyrX,IMU[2].GyrY,IMU[2].GyrZ,RCOU.C1,RCOU.C2,RCOU.C3,RCOU.C4,RCOU.C5,RCOU.C6
12454.443,1.71,-0.24,76.12,-0.0001235250965692103,0.000820056302472949,0.00012564756616484374,-0.00010531623411225155,-0.0001691645011305809,-0.0017631440423429012,0.0007213944336399436,-0.00013355552800931036,-0.00034991599386557937,1100,1100,1100,1100,1100,1100
12554.443,1.71,-0.24,76.12,0.0005934222717769444,-0.0002993694506585598,0.00002094654701068066,-0.0010094938334077597,-0.0009260323131456971,0.0011841865489259362,-0.0014540007105097175,0.0016024651704356074,-0.0009721940732561052,1100,1100,1100,1100,1100,1100
12654.443,1.71,-0.24,76.12,0.00029643287416547537,0.00025609490694478154,-0.0001839946344261989,0.0003780016559176147,0.0012165236985310912,0.0007875569281168282,0.0002717316965572536,0.002366534201428294,0.000057530549383955076,1100,1100,1100,1100,1100,1100
12754.443,1.71,-0.24,76.12,-0.0003939282614737749,0.0000142952912938199,0.0004206689482089132,0.0018945776391774416,-0.0011416602646932006,-0.001288035186007619,-0.0009566305670887232,0.001954101026058197,-0.000040614530007587746,1100,1100,1100,1100,1100,1100
12854.443,1.71,-0.24,76.12,-0.0006844273302704096,0.0002943168510682881,-0.00035539991222321987,-0.00044210010673850775,-0.0013749855570495129,-0.00001628966310818214,0.0006928592920303345,-0.00008925376459956169,0.002666796324774623,1100,1100,1100,1100,1100,1100
12954.443,1.71,-0.24,76.12,0.0005932110943831503,-0.0002904791326727718,0.00009657368354965001,0.0033752431627362967,-0.0009475573315285146,-0.0005983124137856066,-0.0009036026312969625,-0.002042478183284402,-0.0003169364354107529,1100,1100,1100,1100,1100,1100
13054.443,1.71,-0.24,76.12,-0.000016925803720369004,-0.00048725289525464177,0.00029646707116626203,-0.0007148486911319196,-0.0003513723495416343,-0.0020256172865629196,0.0006351636839099228,-0.0015191541751846671,0.002567760180681944,1100,1100,1100,1100,1100,1100
13154.443,1.71,-0.24,76.12,-0.0009832046926021576,-0.0007079601055011153,-0.00022062809148337692,-0.0005215124692767859,0.0011208176147192717,-0.0005437537329271436,0.000026394654923933558,0.0003648845595307648,0.002017315709963441,1100,1100,1100,1100,1100,1100
13254.443,1.71,-0.24,76.12,0.00021842277783434838,-0.00015188445104286075,-0.00039119028951972723,0.0007022249046713114,0.0008849110454320908,-0.00022731887293048203,0.0024831038899719715,0.0013062588404864073,0.0006982162594795227,1100,1100,1100,1100,1100,1100
13354.443,1.71,-0.24,76.12,0.0005048688617534935,0.0007316428818739951,0.00020098894310649484,-0.0006575178122147918,-0.00017658369324635714,-0.0023009679280221462,-0.0002885857247747481,-0.0012763147242367268,-0.001174555392935872,1100,1100,1100,1100,1100,1100
